ID,name,Vermin,stars,votes,safety
120374001,Logos,V0,3,1,""
107416774,Honk If You love Jesus,V5,2.8,4,""
107416750,John,V3,2.8,4,""
108960282,Little Johnny Pockets,V1+,2.6,5,""
108964378,Tangerine,V2,2.5,4,""
120345721,Silky Smooth Lowball,V1,2,2,""
112243067,Friends with the Benedicts,V2,2,1,""
120368688,Heat Sensitive,V2,2,1,""
120373970,Elmer Gantry,V2,2,1,""
120758384,House of the Rising Sun,V5,2,1,""
120338326,Primrose,V1,1.5,2,""
120327099,Mugwort Tea,V1,1,2,""
120335055,Center Project,V10,4,1,""
118774856,Soap Chick,V0,3.5,2,""
111710530,Bench Mantle,V2,3,1,""
120258584,Center Line,V2,3,1,PG13
118783934,Corona Time,V1,2.5,2,""
120256967,Meat Hook,V2-,2.5,2,""
120335212,High Step,V0+,2.5,2,""
120155206,Left Center,V1,2,2,""
119820152,Starting Line,V4,2,1,""
120335201,Black Slab,V0,1.5,2,""
107065408,Pocket Rocket,V3,3.7,9,""
120022173,Occams Phaser,V5,4,1,""
120022171,Dads in New Balances,V3,4,1,""
107920107,"C&J's Comet",V2,3.4,7,""
112339161,Side Saddle,V4-,3.5,2,""
107453197,Battle of the Bulge,V0,2.8,10,""
107843797,Parking Lot Boulder,V0-,3,3,""
107860261,Head-to-Toe,V2,3,1,""
108316153,Dont Look Back,V0,3,1,""
107901756,Lean On Me,V1,3,1,""
107877168,Rainbow Rail,V5-,2.5,6,""
107891765,Rat Hole,V2-,2.5,2,""
107863113,Cosmic Sloper Stand,V2,2.3,3,""
120022179,Horse Bananas,V3,2,1,""
112847559,Butt Play,V0,2,1,""
111698675,Half Penny,V1,2,1,PG13
111698703,Two Penny,V1,2,1,PG13
107876757,Crimp Toss,V5,2,1,""
107848026,Welcome to Stonehenge,V2,2,1,""
107923058,Jim Was Here,V0,2,1,""
107904844,Fear The Bulge,V3,2,1,""
107848081,Horizontal Shuffle,V1,2,1,""
107855057,Puppy Scales,V0,2,1,""
107868871,Clown Foot,V2,2,1,""
107886589,Switch Back,V0,2,1,""
107904726,Jingo Jango,V0,2,1,""
107902206,Skull Fracture,V0,2,1,""
107848040,Reach Around,V1,2,1,""
107891835,Down South,V0,2,1,""
107919526,Space Rip,V0,1.5,4,""
107453206,Connect-The-Dots,V1,1.5,2,""
107847064,Bear Face Left Cheek,V0,1.5,2,""
107868891,Loose Mime,V0,1,2,""
107912499,Easy E,V1,1,2,""
107875785,Shooting Star,V1,1,1,""
107848115,The Clap,V0,1,1,X
107848059,Horizontal Hustle Traverse,V0,1,1,""
107848098,Fist-o-Crack,V0,1,1,""
107891782,Rim Job,V1,1,1,""
107902173,Split In Two,V2,1,1,""
107902212,Loose Noose,V0,1,1,""
107901851,Hang Mans Whiskey,V0,1,1,""
107901834,Hang Mans Cellar,V0,1,1,""
107886563,Double Tap,V0,1,1,""
107843770,Bear Face Right Cheek,V1-,1,1,""
107848136,The Ball,V1,1,1,""
107886600,Crimp and Go,V0,1,1,""
107868866,Trapeze Act,V0,1,1,""
107904687,Crimpaholic,V1,1,1,""
107265474,Mini-K,V0,1,1,""
107885374,Absolution,V5,4,1,""
107884082,Pimp Slap,V3+,3.7,3,""
120193638,Right Nut,V4,3.5,2,""
107884121,Wrangled,V3+,3.5,2,""
107884075,Pimp Daddy,V5,3,2,""
107885173,Bushwhackin,V0,3,2,""
107885186,Polly Pocket,V1+,3,2,""
107886543,Hookin for Cheeseburgers,V0+,3,1,""
107884096,Shmangled,V4,3,1,""
107885195,Natty Light,V1+,3,1,""
112828001,Cub Scout,V1,2.8,4,""
114016458,Ruffle Feathers,V3-,2,2,""
107885139,Jimmy D,V1,2,2,""
107885272,Rambo Direct,V5-,2,2,""
119854268,19 Crimes,V2,2,1,""
119720997,The Portal,V3,2,1,""
119854378,Pour Choices,V1,2,1,""
118604972,Wishbone,V2,2,1,""
116163724,Fissure,V2,2,1,""
116163706,Main Slab,V0,2,1,""
112812369,Fowl Play,V1,2,1,""
112812365,To get to the Other Side,V0,2,1,""
112812361,Rotten Egg,V1,2,1,""
112812355,Which Came First...,V1,2,1,""
107884178,Peter North,V4,2,1,""
107884202,Viagra,V5,2,1,""
107884187,Ron Jeremy,V3,2,1,""
107886566,Randy-Bo-Bandy,V0,2,1,""
107887556,The-Big-Dirty,V7+,2,1,""
107885254,Rambo Redux,V8,2,1,""
107885280,Chuck,V5,2,1,""
120717079,Spiral Out,V4,2,1,""
116163734,Gold Quartz Slab,V2,1,1,""
116163889,Bullet Slab,V2,1,1,""
113200929,Hibbity Dibbity,V7,4,2,PG13
113201048,Heavenly War Path,V3+,4,2,PG13
113232716,Illmatic,V6,4,2,""
113201123,Lean On Me (Sit),V5,3,2,""
116207341,Sock Dudes,V4,3,1,""
119321713,Unnamed,V4,3,1,""
113200648,Just Keep Swimming,V6,3,1,""
113360766,Prince Albert,V5,3,1,""
113216517,Ice Troll,V4,3,1,""
113201021,Pepper Jelly,V3,3,1,""
113360751,The Crown,V1,3,1,R
113216561,Time Crunch,V3,3,1,""
113200729,Jah Pull Up,V2+,2,2,""
116207312,Knuckle F***er,V5,2,1,""
116207324,Knuckle F***er Sit,V6,2,1,""
116207362,Sock Dudes Sit,V5,2,1,""
113216546,Groove Train,V0,2,1,""
113200766,Long Dong Silva,V1,2,1,""
113200680,Lean On Me,V2,2,1,""
113328303,The Deciever (High Stand),V5,2,1,""
113240541,Bros and Cons,V0+,1,1,""
113562469,Spicy Mango,V3,4,1,PG13
113562481,Back-Step Traverse,V0,4,1,""
113562475,The Virus,V1+,2,1,""
117399126,The Crimp,V3-,3.3,3,""
117405086,"Scout's Nose",V1+,2,2,""
117852778,Sinking Johnson,V1,2,1,""
110535637,"The Lion's Mane",V4,3.4,14,""
118286614,Superposition,V5,4,1,""
112282903,We The Sheeple,V8,4,1,PG13
112465511,Arugula,V4,4,1,""
112436103,"Löwenanteil (aka Lion's Share)",V4,3.7,3,R
107414930,Reach for the Stars,V2,3.3,3,""
112384133,Thundercat!,V3,3,5,PG13
107417956,"Gettin' Lippy",V3,3,3,PG13
112369666,Electric Bobcat,V1,2.8,6,PG13
112531992,Bob Cat Way,V1,3,2,""
112514900,Rabbit Proof Fence,V1,3,2,""
112444206,Miezekatzesänfte AKA Kitty Litter,V3,3,2,""
112465612,Sweet Relief,V4,3,2,""
112510818,Domenigoni Dead Point,V2,3,2,""
112465623,Sweetie,V3,3,2,""
118827527,Drifter Boulder,V2,3,1,""
112285529,[Redacted],V2,3,1,""
112532540,Pussy Foot traverse,V3,3,1,""
112539933,Crack in the Dragons Egg,V3,3,1,""
112514818,Relative Peace,V2,3,1,""
112514940,Ride the Lightning offwidth,V2,3,1,""
112539951,Rainbow Hawk,V2+,3,1,""
112465581,Sweet Arete,V1,3,1,""
109317298,"World's Best Thin Crack",V6,3,1,""
112369834,Ursa Minor traverse,V3,2.7,3,""
112369380,Sebastian Traverse,V2,2.7,3,""
112543279,Cat Woman,V2,2.5,4,""
116385610,Paprika,V3,2.5,2,""
112357350,Nessy Traverse,V4,2.5,2,""
112542567,Cosmic Dragon,V5,2.5,2,""
112482188,Rapid Transit,V2,2.5,2,""
112543268,"Shadow, Skyler's Dead Cat",V2,2.3,3,""
112510806,Domenigoni Traverse,V2+,2.3,3,""
110731991,A Woman Named Rita,V0,2.3,3,PG13
107414941,"Reachin' Left",V2+,2.3,3,""
112457808,Hibernation,V0,2,3,""
112457829,"Winnie's Nap",V2,2,3,""
116208316,"Menifee's Hero Roof",V2,2,2,""
116208254,"Li'l Queen of London",V2,2,2,""
112357459,Honky Cat,V3,2,2,""
112369784,Ambergris,V0+,2,2,""
112515043,Black & Mild,V0,2,2,""
112482167,Sense of Place,V0,2,2,""
107083852,Blood Brothers,V2,2,2,""
116385591,Perfect Blue,V2,2,1,""
116521074,Raw Tuna,V4,2,1,""
116534539,Bonito,V4,2,1,""
116534506,Miso,V2,2,1,""
116521062,Sticky Rice,V1,2,1,""
116208335,Yabo Roof Redux,V3-,2,1,""
116534477,Nsibidi,V0,2,1,""
116208290,Do it for the Meth,V2-,2,1,""
118155956,Bail Out,V3,2,1,""
116490334,Canis latrans Tavern,V4,2,1,""
116490261,Pistachio,V4,2,1,""
112285723,Touched by a Merman,V6,2,1,""
112543296,Robocat,V2,2,1,""
112457760,Chunt,V3,2,1,""
112457579,Baleen,V6,2,1,""
112372410,Petroglyph,V2,2,1,""
110535718,Piglet,V2,2,1,""
112457666,The Cuban,V4,2,1,""
112383644,Two Knots,V3,2,1,""
112517368,Jaga,V0,2,1,""
112539684,Rainbow Hawk,V2,2,1,""
112425891,Hippopotamus,V2,2,1,""
112457623,Bone Collector,V3,2,1,PG13
112457698,Hippocampus,V1,2,1,""
112539943,Tusk,V2,2,1,""
112510844,Little Hulk,V0,2,1,""
